GeneName	SW480_T0_Rep1_TPM	SW480_T0_Rep2_TPM	SW480_T24_Rep1_TPM	SW480_T24_Rep2_TPM	SW480_T48_Rep1_TPM	SW480_T48_Rep2_TPM	SW480_T72_Rep1_TPM	SW480_T72_Rep2_TPM
ESR2	0.04	0.07	0.16	0.11	0.02	0.04	0.07	0.07
ESRP1	54.8	56.31	51.94	53.63	52.43	49.68	36.66	28.67
ESRP2	16.61	15.39	14.09	14.01	11.55	9.25	11.76	11.6
ESRRA	45.69	47.92	39.64	41.94	38.97	40.99	35.09	24.96
ESRRB	1.37	1.53	0.74	1.02	0.92	0.57	0.38	0.37
ESRRG	7.88	7.1	8.54	7.66	9.79	9.61	10.19	8.24
ESX1	0	0	0	0	0	0	0	0
ESYT1	29.75	30.37	23.06	22.92	23.62	23.67	19.88	16.95
ESYT2	25.38	26.27	24.49	24.23	28.36	28.41	26.04	20.37
ESYT3	3.49	3.88	3.35	3.39	2.66	2.66	2.45	2.2
ETAA1	11.42	11.74	11.36	11.74	12.67	13.26	14.42	11.03
ETF1	89.75	92.03	78.04	82.57	85.44	89.71	71.96	54.2
ETFA	173.92	168	181.07	169.38	190.42	188	163.88	127.58
ETFB	109.1	108.4	107.39	98.71	122.19	126.38	116.65	79.07
ETFBKMT	0.93	0.94	0.81	0.75	1.39	1.25	1.1	0.69
ETFDH	10.86	10.05	9.52	10.17	11.19	11.57	11.31	9.81
ETFRF1	25.62	29.21	33.55	30.42	37.78	41.19	41.84	30.86
ETHE1	32.06	32.39	34.85	34.49	36.66	42.32	29.6	26.34
ETNK1	70.83	76.52	59.34	58.11	61.55	77.79	55.02	39.51
ETNK2	1.81	1.63	1.48	1.51	1.14	1.52	2.14	2.01
ETNPPL	0.34	0.52	0.27	0.26	0.19	0.08	0.39	0.5
ETS1	5	5.54	4.57	4.25	7.27	6.59	10.54	9.71
ETS2	10.5	11.67	10.36	9.98	9.72	10.34	7.81	6.27
ETV1	26.48	27.05	31.21	28.05	35.01	32.23	34.69	28.78
ETV2	1.25	1.16	1.7	1.68	1.56	1.83	1.64	1.51
ETV3	6.2	6.77	6.48	6.45	6.74	6.71	7.24	6.41
ETV3L	0	0	0	0.02	0	0	0	0
ETV4	75.71	74.49	67.85	65.5	61.85	60.4	36.29	30.4
ETV5	29.13	30.08	27.15	28.07	31.92	35.03	32.69	28.18
ETV6	4.05	4.36	4.16	3.57	4.89	4.61	5.59	5.25
ETV7	0.54	0.38	0.45	0.55	0.59	0.41	0.63	0.19
EVA1A	0.22	0.11	0.5	0.49	1.09	0.48	0.97	0.71
EVA1B	0.61	1.23	1	0.69	0.73	0.68	1.41	1.58
EVA1C	2.65	2.44	2.12	2.17	2.14	3.1	1.07	1.59
EVC	0.02	0.01	0.01	0.03	0.02	0.01	0.01	0.02
EVC2	0	0.01	0.02	0	0.03	0.03	0.01	0.03
EVI2A	0.1	0.12	0.09	0.05	0.09	0	0	0
EVI2B	0.09	0.16	0.06	0.11	0	0.17	0.06	0.08
EVI5	11.14	10.13	9.09	8.92	8.83	9.8	13.03	9.21
EVI5L	6.4	5.91	5.62	5.04	5.95	6.73	7.19	5.85
EVL	10.77	12.11	9.81	8.86	10.71	10.36	10.24	9.61
EVPL	10.1	8.86	8.67	7.73	7.04	8.16	10.85	8.12
EVPLL	0.02	0	0	0	0	0	0	0.03
EVX1	1.22	1.38	2.01	1.43	2	1.98	1.86	1.43
EVX2	0.1	0.09	0.12	0.1	0.12	0.14	0.03	0.07
EWSR1	216.18	220.75	206.05	196.26	217.08	214.28	229.15	188.2
EXD1	0	0.02	0.12	0	0.14	0.03	0	0.03
EXD2	11.29	11.15	11.56	11.26	12.22	13.51	13.33	11.53
EXD3	5.78	4.95	4.96	5.09	5.69	4.94	6.44	6.59
EXO1	19.18	19.1	13.15	15.73	15.63	14.52	10.49	7.34
EXO5	6.34	3.94	3.83	3.79	4.06	3.94	3.83	2.88
EXOC1	11.83	10.48	12.69	13.44	12.05	14.11	18.58	13.63
EXOC2	12.22	11.75	10.95	10.32	9.94	10.41	9.5	6.88
EXOC3	31.27	29.63	28.76	28.23	26.26	25.19	26.08	18.93
EXOC3L1	0.16	0.09	0.13	0.15	0.4	0.08	0.18	0.14
EXOC3L2	0	0	0.01	0	0.04	0.06	0.04	0.04
EXOC3L4	0.25	0	0.1	0.11	0.25	0.02	0.14	0.17
EXOC4	32	33.49	28.85	29.95	36.09	33.73	35.41	27.37
EXOC5	29.71	34.38	29.26	32.16	39.3	39.01	33.29	23.08
EXOC6	9.96	8.71	7.32	8.02	11.79	13.99	11.19	8.69
EXOC6B	5.86	6.6	5.46	4.68	5.83	7.09	6.47	6.67
EXOC7	38.94	39.39	39.72	36.56	41.75	42.02	47.26	35.45
EXOC8	7.75	7.34	7.04	7.39	7.13	8.44	7.58	5.34
EXOG	4.18	5.16	5.11	4.36	3.78	4.94	3.93	3.17
EXOSC1	35.46	39.37	38.58	37.52	33.7	33.43	27.86	17.6
EXOSC10	42.57	39.9	36.56	37.29	36.92	35.46	41.5	31.19
EXOSC2	29.84	31.96	26.57	24.92	26.51	24.02	27.25	18.99
EXOSC3	34.78	40.56	30.28	35.44	35.97	40.47	24.35	17.19
EXOSC4	19.65	20.14	16.97	15.89	15.76	18.07	17.19	13.41
EXOSC5	36.41	37.58	32.99	30.91	31.32	33.58	20.1	13.84
EXOSC6	11.02	11.37	10.76	11	10.84	11.7	9.47	7.3
EXOSC7	37.14	36.5	35.83	36.16	37.89	40.99	30.49	22.53
EXOSC8	69.29	65.64	63	70.4	56.14	58.3	30.13	24.76
EXOSC9	31.56	30.53	25.54	26.94	27.07	28.22	28.81	20.17
EXPH5	2.86	2.17	2.32	2.41	2.85	2.8	2.93	2.56
EXT1	6.56	7.09	6.61	5.93	8.73	8.33	8.87	5.97
EXT2	32.55	31.71	31.01	30.88	33.36	36.86	30.37	22.13
EXTL1	0.21	0.08	0.08	0.05	0.07	0.1	0.04	0.04
EXTL2	8.34	8.6	8.01	6.75	7.14	7.04	6.66	4.87
EXTL3	7.8	9.49	7.31	7.58	9.96	9.52	10.39	7.62
EYA1	0	0.01	0.04	0.04	0.08	0.14	0.12	0.41
EYA2	0.02	0.03	0.05	0.02	0.15	0.04	0.25	0.04
EYA3	8.39	7.9	6.85	6.86	8.62	7.93	9.13	7.07
EYA4	0.01	0.02	0.02	0.05	0.22	0.28	0.29	0.56
EYS	0.07	0.12	0.09	0.09	0.15	0.14	0.47	0.21
EZH1	11.87	11.57	11.26	10.15	10.71	10.59	16.4	11.88
EZH2	27.35	27.38	22.82	22.3	21.82	21.21	20.41	14.07
EZR	47.14	45.58	40.61	40.3	50.85	48.91	67.99	49.86
F10	1.04	1.48	1.24	0.95	1.28	1.56	2.35	1.9
F11	0	0	0	0	0	0	0	0.05
F11R	27.98	37.19	35.31	31.89	42.72	39.36	46.89	40.96
F12	12.79	11.71	10.76	11.43	9.71	12.31	4.28	4.23
F13A1	0.6	0.67	0.51	0.63	1.38	1.66	2.42	2.48
F13B	0	0	0	0	0	0	0	0
F2	0.1	0	0.02	0.14	0.12	0.09	0.02	0.09
F2R	0.11	0.1	0.1	0.1	0.25	0.19	0.3	0.32
F2RL1	5.61	6.26	4.8	4.78	6.62	6.31	6.8	4.28
F2RL2	0.04	0	0	0.01	0.04	0.02	0	0.09
F2RL3	0.29	0.2	0.27	0.18	0.16	0.46	0.07	0.07
F3	2.85	2.52	2.02	2.34	2.88	3.34	4.26	3.64
F5	0	0	0.01	0	0.01	0	0.1	0.01
F7	0.06	0.1	0.07	0	0.11	0.02	0.23	0.02
F8	1.83	1.64	1.44	1.74	2.36	1.89	1.63	1.11
F8A1	15.42	16.38	14.35	13.93	14.34	14.65	12.97	12.5
F8A2	0	0	0	0	0	0	0	0
F8A3	0	0.15	0	0.13	0	0.25	0.07	0
F9	0	0	0	0	0	0	0.02	0
FA2H	0.58	1.01	0.67	1.26	1.05	0.97	1.83	0.88
FAAH	14.21	15.61	15.37	14.12	12.09	12.07	12.38	11.46
FAAH2	8.76	10.26	6.64	8.21	10.23	12.56	9.68	8.32
FAAP100	22.78	22.95	21.99	20.86	17.2	19.58	16	15.06
FAAP20	25.66	29.91	23.78	23.85	22.74	21.88	21.33	21.98
FAAP24	5.58	4.89	4.56	4.79	5.22	6.29	4.71	4.14
FABP1	0.12	0.11	0.4	0.69	0.59	1.45	0.93	0.28
FABP12	0	0	0	0	0	0	0	0
FABP2	0.06	0.06	0.03	0.08	0.14	0.16	0.22	0.24
FABP3	3.92	3.09	2.75	3.26	4.38	4.52	4.7	3.57
FABP4	0.1	0	0.1	0	0.2	0.07	0.4	0
FABP5	73.97	78.84	63.46	65.39	75.02	73.95	83.99	61.37
FABP6	9.3	6.62	8.9	5.91	10.93	8.7	10.49	9.13
FABP7	0	0	0	0.01	0.02	0	0.02	0.06
FABP9	0	0	0	0	0	0	0	0
FADD	14.5	13.5	14.08	13.97	14.74	14.48	12.94	10.51
FADS1	54.91	57	54.81	50.24	51.16	56.74	59.49	47.6
FADS2	7.61	8.18	8.25	7.82	7.24	7.21	7.41	5.17
FADS3	30.28	29.65	29.39	28.58	22.71	27.29	26.93	17.84
FADS6	0	0.02	0.1	0.07	0	0.11	0.1	0
FAF1	59.94	55.04	53.49	55.52	57.63	53.58	42.87	32.29
FAF2	17.82	18.77	16.39	16.39	15.99	17.11	15.41	12.02
FAH	9.5	10.11	7.85	8.22	9.11	9.18	7.9	6.11
FAHD1	8.58	9.58	9.91	8.62	9.2	10.09	8.29	6.16
FAHD2A	32.15	32.38	34.25	27.77	33.81	31.12	32.32	25.27
FAHD2B	33.7	34.39	32.84	31.52	39.02	37.75	38.76	27.08
FAIM	14.29	14.66	17.34	19.15	18.15	17.14	12.45	11.05
FAIM2	0.58	0.34	0.84	0.5	1.34	0.95	0.99	1.37
FAM102A	12.71	12.19	15.31	12.22	10.17	10.11	13.77	12.2
FAM102B	2.19	2.63	2.47	2.58	2.75	2.82	2.35	2.09
FAM104A	16.67	14.1	15.56	12.83	13.58	17	15.04	9.98
FAM104B	12.51	14.98	15.09	13.07	14.71	16.09	13.38	10.66
FAM107A	0.01	0.07	0.04	0.03	0	0	0.06	0.14
FAM107B	4.39	4.83	3.91	3.61	3.87	3.95	4.14	3
FAM110A	3.04	2.74	2.78	2.6	2.72	2.84	3.37	3.28
FAM110B	0	0	0	0	0.03	0.12	0.04	0
FAM110C	2.69	2.87	3.12	2.8	2.59	2.9	3.5	2.47
FAM110D	0.15	0.2	0.15	0.14	0.21	0.22	0.12	0.04
FAM111A	19.82	17.5	15.15	14.9	16.58	17.12	19.59	14.95
FAM111B	13.88	14.47	10.58	10.33	12.95	13.07	13.53	10.29
FAM114A1	1.32	1.86	2.23	2.24	3.12	3.77	5.14	3.97
FAM114A2	6.56	5.48	5.8	5.36	7.4	4.92	5.73	4.76
FAM117A	4.26	4.02	4.44	3.51	4.85	4.71	7.05	6.03
FAM117B	3.91	3.86	3.21	3.48	3.76	3.74	3.14	3.18
FAM118A	19.69	16.45	16.7	15.93	13.84	14.55	14.52	11.55
FAM118B	9.45	10.74	10.46	10.01	11.68	12.68	10.14	7.97
FAM120A	48.93	47.53	49.77	45.45	52.46	49.55	48.55	36.57
FAM120AOS	20.63	21.32	22.39	20.72	18.94	17.51	16.19	12.52
FAM120B	5.23	4.91	5.32	4.81	5.92	6.01	6.48	5.2
FAM120C	3.58	3.18	2.98	2.56	1.98	1.88	2.46	2.43
FAM122A	3.34	3.26	3.15	3.25	3.24	2.92	2.4	1.98
FAM122B	8.91	9.53	11.75	8.93	10.92	8.84	9.2	8.03
FAM122C	1.83	2	2.17	1.87	2.02	2.71	4.21	1.75
FAM124A	0.23	0.41	0.34	0.27	0.36	0.25	0.17	0.17
FAM124B	0	0	0.04	0	0	0.03	0	0
FAM126A	9.51	9.18	9.01	8.75	9.75	8.95	11.3	9.32
FAM126B	4.38	4.08	3.23	3.81	2.92	2.74	3.6	2.82
FAM131A	8.91	9.88	8.15	7.17	7.9	6.93	8.14	7.09
FAM131B	0.11	0.23	0.2	0.15	0.22	0.37	0.49	0.18
FAM131C	2.93	2.93	2.69	2.27	2.81	3.03	2.61	2.66
FAM133A	0.39	0.34	0.3	0.39	0.32	0.36	0.37	0.39
FAM133B	36.01	36.15	30.58	32.68	30.62	31.54	40.15	29.69
FAM135A	6.31	7.81	7.32	6.96	7.99	6.93	6.68	5.8
FAM135B	0	0	0	0.02	0.01	0.24	0.01	0.24
FAM136A	144.93	150.28	129.81	132.42	140.43	142.47	125.6	97.32
FAM13A	0.24	0.26	0.48	0.48	0.51	0.95	0.68	1.18
FAM13B	5.08	5.42	4.28	3.85	3.47	4.21	3.87	3.34
FAM13C	2.47	2.22	2.51	2.34	1.52	1.64	0.91	0.84
FAM149A	3.91	4.93	3.7	4.28	4.79	4.26	3.98	3.38
FAM149B1	12.06	9.66	10.76	11.56	11.21	12.12	11.89	8.72
FAM151A	0.1	0.04	0.15	0.02	0.07	0.08	0.08	0.08
FAM151B	0.2	0.5	0.17	0.07	0.12	0.28	0.5	0.19
FAM153A	0.22	0.02	0.01	0.13	0.03	0.53	0.07	0.31
FAM153B	0.1	0	0.11	0.09	0.27	0.15	0.34	0.14
FAM155A	0.03	0.01	0.01	0.01	0.03	0.06	0.04	0.02
FAM155B	0	0	0.01	0.02	0.04	0.06	0.01	0
FAM156A	25.81	25.74	28.21	22.73	16.77	15.18	19.43	17.36
FAM156B	11.78	11.52	6.86	13.33	12.4	15.54	9.24	6.75
FAM160A1	4.7	4.12	4.34	3.72	5.18	5.61	8.37	4.7
FAM160A2	15.74	16.04	16.9	17.7	19.72	18.09	22.98	22.32
FAM160B1	3.49	4	4.12	2.85	4.08	5.14	5.53	3.82
FAM160B2	14.26	13.74	13.21	11.88	11.32	11.94	15.18	14.88
FAM161A	6.51	6.45	4.92	5.13	4.66	4.69	6.61	4.54
FAM161B	1.54	1.71	1.97	1.67	2.23	2.05	2.55	2.1
FAM162A	45.66	45.42	40.2	42.41	52.39	48.78	38.2	28.56
FAM162B	0	0	0	0	0	0.06	0	0
FAM163A	0.05	0.03	0.04	0.04	0.1	0.04	0.08	0.04
FAM163B	0.37	0.45	0.48	0.34	0.29	0.05	0.09	0.11
FAM166A	0.59	0.93	0.39	0.61	0.33	0.72	0.57	0.39
FAM166B	0.36	0.21	0.08	0.49	0.34	0.11	0	0.1
FAM167A	1.62	1.43	2.15	2.26	1.75	1.95	1.24	0.89
FAM167B	0.06	0.23	0.26	0.21	0.12	0.14	0.24	0.07
FAM168A	18.53	18.3	15.06	15.91	17.72	18.16	20.36	16.99
FAM168B	41.59	42.53	39.05	38.97	43.35	42.62	38.61	31.42
FAM169A	8.48	9.68	7.18	9.8	9.65	9.81	8.28	6.42
FAM170A	0.04	0	0	0	0.04	0	0.09	0
FAM170B	0	0	0	0	0.04	0	0.04	0
FAM171A1	2.57	2.7	1.94	2.23	2.56	2.11	1.83	1.5
FAM171A2	2.04	2.08	1.85	1.8	2.35	1.94	1.57	1.75
FAM171B	2.23	2.59	2.29	2.51	4.33	4.68	5.53	4.05
FAM172A	5.85	5.29	4.89	4.94	6.16	5.51	5.37	4.45
FAM174A	5.6	5.55	5.11	7	7.1	8.07	7.89	6.4
FAM174B	10.35	5.66	6.14	5.77	10.52	9.5	10.02	5.76
FAM177A1	24.46	21.83	18.95	20.76	22.24	25.77	23.93	14.97
FAM177B	0	0	0.09	0	0.1	0.12	0	0
FAM178B	16.41	17.07	22.53	19.2	17.73	18.54	15.68	14.88
FAM180A	0	0	0	0	0	0.04	0	0
FAM180B	0.04	0.04	0.03	0.04	0.19	0.17	0.11	0.18
FAM181A	0	0	0	0	0	0	0	0
FAM181B	0	0	0.01	0	0.01	0	0.01	0.06
FAM183A	0.97	0.42	0.54	0.56	0.82	0.47	0.54	0.19
FAM184A	2.25	2.38	2.06	1.74	1.97	1.71	2.31	1.95
FAM184B	0.03	0.01	0.01	0.01	0.02	0.03	0.01	0
FAM185A	10.36	11.21	10.96	11.77	12.95	13.07	13.7	9.97
FAM186A	0.02	0	0	0.03	0.02	0.03	0.03	0
FAM186B	0.29	0.25	0.37	0.09	0.07	0.19	0.23	0.18
FAM187A	0.78	0.72	1.08	0.86	1.51	1.46	1.64	1.25
FAM187B	0.04	0	0.04	0	0.14	0	0.04	0
FAM189A1	2.48	1.77	1.59	1.48	2.25	2.26	2.38	1.64
FAM189A2	0.12	0.14	0.17	0.04	0.09	0.04	0	0.09
FAM189B	8.5	10.04	7.36	6.74	7.56	7.69	7.19	7.92
FAM193A	6.59	6.11	6.15	5.4	6.22	5.61	6.4	6.31
FAM193B	26.59	22.57	26.55	26.13	25.02	18.99	32.76	22.97
FAM199X	19.41	20.07	17.76	19.43	19.48	20.48	16.36	12.59
FAM200A	4.72	4.97	5.12	4.52	4.79	5.31	4.55	3.31
FAM200B	11.73	13.04	15.91	15.91	17.65	17	19.37	12.72
FAM204A	87.56	89.45	78.44	89.64	77.24	79.08	51.17	35.8
FAM205A	0	0	0.01	0.01	0	0.01	0	0
FAM205C	0	0	0	0	0.06	0	0	0
FAM207A	34.66	28.49	28.81	27.43	26.83	27.06	23.75	15.91
FAM209A	0.13	0.27	0	0.16	0.06	0.07	0.42	0
FAM209B	0.5	0.16	0.3	0.2	0.26	0.29	0.17	0.1
FAM20A	0.71	0.45	0.56	0.32	0.33	0.52	0.46	0.4
FAM20B	15.95	17.1	15.25	14.94	17.38	17.97	17.62	13.37
FAM20C	0.35	0.84	0.32	0.43	0.5	0.74	0.43	0.15
FAM210A	9.7	11.95	9.79	10.44	10.53	11.99	9.52	7.46
FAM210B	14.9	15.17	13.58	12.64	17.33	17.72	18.26	14.62
FAM214A	2.2	1.93	2.23	1.95	2.33	2.22	2.41	2.32
FAM214B	2.2	1.76	2.33	1.64	4.57	4.48	8.44	6.12
FAM216A	20.21	20.41	18.81	19.28	16.08	15.17	9.72	7.61
FAM216B	0	0	0	0	0.02	0.02	0.03	0
FAM217A	0	0.45	0.02	0.48	0	0.9	0	0.06
FAM217B	10.75	11.66	12.21	12.61	14.45	13.04	14.42	13.05
FAM218A	0	0	0.04	0.01	0.02	0	0.09	0.03
FAM219A	1.22	1.45	1.59	1.5	1.16	1.35	1.15	1.14
FAM219B	33.29	38.93	28.61	32.64	26.53	26.14	30.29	24.55
FAM220A	7.41	8.85	7.24	7.49	11.66	8.75	8.75	6.6
FAM221A	9.11	11.53	9.04	7.99	8.77	10.43	8.23	6.2
FAM221B	0.05	0.08	0.02	0.08	0.1	0.11	0.05	0.04
FAM222A	5.48	4.8	6.06	5.61	9.95	9.43	11.51	10.22
FAM222B	4.44	4.06	3.96	3.71	5.52	5.38	9.79	8.14
FAM227A	1.56	1.14	1.12	1.29	0.85	1.23	1.96	1.47
FAM227B	2.62	3.59	2.79	3.69	3.05	5.2	6.42	2.33
FAM228A	0.03	0.03	0	0	0.03	0.11	0	0.11
FAM228B	2.94	4.2	3.85	2.96	4.04	4.2	3.77	2.68
FAM229A	0.88	0.95	1.21	0.66	0.63	0.46	1.45	1.3
FAM229B	4.48	4.38	5.99	5.66	6.52	8.34	8.13	6.56
FAM234A	14.6	15.01	18.62	16.71	21.09	19.51	18.87	16.25
FAM234B	8.24	8.69	6.9	6.77	7.68	7.3	7.74	6.84
FAM236A	0	0	0	0.11	0	0	0	0
FAM236B	0	0	0	0	0	0	0	0
FAM236C	0	0	0	0	0	0	0	0
FAM236D	0	0	0	0	0	0	0	0
FAM24A	0	0	0	0	0	0	0	0
FAM24B	8.63	9.19	8.57	7.59	8.24	6.29	4.53	3.04
FAM25A	0	0	0	0.15	0	0	0	0
FAM25C	0	0	0	0	0	0	0	0
FAM25G	0	0	0	0	0	0	0	0
FAM32A	67.13	64.5	62.83	61.56	72.67	75.71	65.37	48.88
FAM3A	20.93	20.79	22.26	20.29	18.43	17.82	13.71	10.97
FAM3B	11.19	13.69	10.57	12.05	14.31	13.14	12.25	8.26
FAM3C	52.11	56.04	44.79	46.18	66.22	67.51	126.4	96.12
FAM3D	0	0	0.07	0.02	0.2	0.18	0.12	0
FAM43A	1.23	0.93	0.88	0.96	1.3	1.59	2.35	1.94
FAM43B	0	0.04	0	0	0.02	0	0.04	0.02
FAM47A	0.02	0.04	0.03	0.05	0	0	0.02	0
FAM47B	0	0	0	0	0.02	0	0	0.03
FAM47C	0	0	0	0.01	0	0	0	0
FAM47E	0.45	0.41	0.67	0.47	0.45	1.14	1.2	1.11
FAM47E-STBD1	1.18	0.69	0.69	1.06	1.41	0.52	1.45	1.35
FAM50A	85.81	79.61	77.88	76.28	77.49	73.26	81.12	52.78
FAM50B	2.87	2.84	3.31	2.7	3.43	3.16	2.62	2.09
FAM53A	2.37	2.12	2.08	2.09	2.24	3.11	1.05	0.42
FAM53B	10.02	10.95	9.57	9.26	8.82	9.21	6.17	5.73
FAM53C	14.09	14.74	12.49	10.79	12.82	12.67	17.67	11.98
FAM71A	0.02	0	0	0	0	0.02	0.04	0
FAM71B	0	0	0	0	0	0	0	0
FAM71C	0	0	0	0	0	0	0	0
FAM71D	0.13	0.19	0.07	0.04	0.1	0	0.24	0.09
FAM71E1	5.97	6.3	5.06	5.01	8.38	7.21	7.4	6.83
FAM71E2	0	0	0.01	0	0.02	0	0	0.04
FAM71F1	0	0.06	0	0.06	0.03	0.04	0	0
FAM71F2	0.04	0.12	0.08	0.08	0.04	0.15	0	0.07
FAM72A	7.46	7.18	6.55	6.77	6.02	6.2	5.79	3.99
FAM72B	3.35	2.51	3.88	2.79	2.56	3.32	1.55	2.01
FAM72C	0.34	0.76	1.18	0.74	0.39	0.65	0.23	0
FAM72D	3.67	4.27	3.56	4.26	4.11	2.78	2.83	2.83
FAM76A	3.38	4.66	3.99	4.89	4.89	4.79	5.79	3.77
FAM76B	29.81	26.39	22.13	26.27	20.37	21.52	25.8	21.73
FAM78A	2.01	1.93	2.02	1.97	2.07	2.32	1.89	1.47
FAM78B	1.32	1.33	1.39	1.29	2.27	2.16	2.01	1.09
FAM81A	2.67	3.85	2.67	2.34	2.7	2.24	2.26	2.81
FAM81B	0	0	0.07	0	0.45	0.04	0.91	0.13
FAM83A	0	0	0.13	0.08	0.04	0.15	0.02	0.01
FAM83B	5.88	6.22	6.93	6.93	9.51	9.64	11.73	9.22
FAM83C	0.22	0.16	0.19	0.26	0.21	0.2	0.26	0.22
FAM83D	22.07	23.83	20.68	21.32	21.01	22.32	16.54	12.23
FAM83E	6.41	4.42	5.67	6.48	11.36	11.02	16.09	11
FAM83F	12.23	12.04	10.89	10.41	9.21	10.72	7.67	5.63
FAM83G	10.45	9.74	10.19	8.76	10.27	10.51	9.74	7.59
FAM83H	22.72	22.58	22.68	20.54	20.93	21.1	17.99	16.14
FAM86B1	9.54	9.44	10.1	9.02	8.83	9.73	9.63	7.14
FAM86B2	0.33	0.53	0.34	0.72	0.56	0.42	0.42	0.8
FAM86C1	6.54	6.53	6.74	6.16	6.1	6.77	7.44	5.51
FAM89A	3.12	4.02	3.07	2.83	3.04	3.41	1.9	2.47
FAM89B	13.53	14.79	13.97	14.49	15.87	17.1	13.09	9.92
FAM8A1	4.38	5.39	4.69	5.07	7.41	6.97	7.59	5.62
FAM90A1	0.06	0.1	0.07	0.02	0.22	0.1	0.04	0.1
FAM90A10P	0	0	0	0	0	0	0	0
FAM90A14P	0	0	0.01	0	0	0	0.01	0.01
FAM90A16P	0	0	0	0	0	0	0	0
FAM90A17P	0	0	0.02	0	0	0	0.03	0
FAM90A18P	0	0	0	0	0	0	0	0
FAM90A19P	0	0	0	0	0	0	0	0
FAM90A22P	0	0	0	0	0	0	0	0
FAM90A23P	0.04	0	0.01	0	0.04	0	0	0
FAM90A26	0.02	0	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0	0	0
FAM90A8P	0	0	0	0	0	0	0	0
FAM90A9P	0	0	0	0	0	0	0	0
FAM91A1	20.82	21.45	19.71	19.62	16.22	19.61	15.82	12.5
FAM92A	23.63	25.68	23.87	23.49	30.33	28.72	33.98	23.05
FAM92B	0	0	0	0	0.06	0	0	0
FAM95C	0.77	0.61	1.18	0.76	0.24	0.26	0.88	0.35
FAM98A	31.9	33.25	31.51	29.78	37.75	38.86	45.15	29.77
FAM98B	3.83	3.46	5.4	4.37	2.75	5.62	3.17	3.27
FAM98C	14.87	12.88	11.79	13.19	9.35	12.04	8.56	7.15
FAM9A	0	0	0	0	0	0	0.03	0.04
FAM9B	0.08	0.09	0.07	0.06	0	0.02	0	0
FAM9C	0	0	0.03	0	0.05	0.02	0.03	0.02
FAN1	17.6	17.71	17.83	19.43	16.19	16.08	11.75	8.35
FANCA	24.26	20.36	15.39	17.53	12.77	16.18	13.32	10.3
FANCB	4.88	5.46	3.84	4.2	3.8	3.61	4.91	3.48
FANCC	9.24	11.44	9.52	8.55	8.79	10.82	8.8	7.67
FANCD2	14.03	15.77	14.04	14.45	9.33	9.15	10.27	8.9
FANCD2OS	0.17	0	0.09	0	0.19	0.2	0.35	0.12
FANCE	7.37	7.6	6.56	7.33	7.22	7.12	6.11	4.37
FANCF	7.12	7.18	7.33	7.81	8.32	8.04	6.72	5.23
FANCG	21.69	18.98	16.28	17.88	12.17	13.8	17.47	14.1
FANCI	62.79	59.83	57.64	57.27	46.1	48.24	37.02	26.68
FANCL	22.38	24.55	19.24	21.59	26.56	26.31	29.33	20.92
FANCM	4.3	5.08	3.87	3.62	3.7	3.34	3.96	2.72
FANK1	0.3	0.07	0.2	0.11	0.35	0.09	1.23	0.44
FAP	0.35	0	0.02	0.19	0.11	0.44	0.12	0.42
FAR1	51.52	52.14	40.88	40.26	42.24	39.51	36.72	25.88
FAR2	0.68	0.69	0.78	0.58	0.95	0.78	1.51	0.58
FARP1	11.77	11.52	11.6	8.44	9.83	10.62	10.84	10.4
FARP2	15.66	11.99	13.41	12.97	11.99	13.71	13.44	9.33
FARS2	7.42	6.55	6.65	5.96	7.2	7.92	6.96	4.77
FARSA	68.35	65.06	65.06	59	60.95	61.41	60.22	45.57
FARSB	29.79	32.5	30.15	29.49	27.87	28.9	20.56	16.27
FAS	1.17	1.03	1.45	1.37	1.9	1.26	2.51	1.78
FASLG	0.79	0.49	0.63	0.65	1.37	1.25	2.21	1.21
FASN	66.51	67.73	55.74	53.28	50.32	50.2	54.84	43.11
FASTK	33.44	33.78	35.62	34.04	27.95	30	32.06	23.45
FASTKD1	17.39	16.6	15.32	17.02	19.43	19.29	14.6	13.15
FASTKD2	15.62	17.56	15.31	16.93	17.03	17.27	13.42	10.08
FASTKD3	12.83	14.1	14.12	13.89	14.48	13.98	12.56	10.36
FASTKD5	13.32	13.71	11.21	12.78	14.46	13.6	12.51	9.21
FAT1	67.15	71.99	54.42	51.17	59.23	57.86	103.53	87.62
FAT2	0.03	0.02	0.03	0.02	0.04	0.08	0.03	0.03
FAT3	0	0	0.13	0	0.02	0.01	0.01	0.13
FAT4	0.08	0.11	0.08	0.08	0.19	0.22	0.57	0.24
FATE1	0	0	0	0	0	0	0.05	0
FAU	555.88	533.36	605.26	581.9	588.64	600.75	498.09	367.25
FAXC	5.46	5.05	5.53	5.68	5.78	5.85	7.12	3.93
FAXDC2	0.92	0.97	0.99	0.78	0.79	1.35	2.61	1.36
FBF1	6	6.03	6.03	4.45	4.34	4.88	7.14	5.77
FBL	303.11	321.65	307.58	272.79	320.7	288.02	221.84	187.61
FBLIM1	11.2	11.65	9.79	10.8	18.82	16.64	22.05	12.36
FBLL1	0.5	0.58	0.35	0.36	0.35	0.12	0.14	0.04
FBLN1	0.85	0.6	0.71	0.53	0.46	1.1	0.69	0.77
FBLN2	0.24	0.52	0.26	0.19	0.27	0.25	0.11	0.22
